gender,regions,education_level,lncome,health_issue,sales(k),earlier_sales(k),quantity_sold
male,group E,some college,standard,no,76,71,72
female,group D,master's degree,standard,no,74,79,82
female,group B,associate's degree,standard,yes,94,87,92
male,group C,some college,below standard,no,63,61,54
female,group E,associate's degree,standard,yes,95,89,92
female,group D,master's degree,below standard,no,40,59,54
female,group B,some high school,standard,no,82,82,80
male,group A,high school,standard,no,68,70,66
male,group B,bachelor's degree,below standard,no,55,59,54
male,group C,master's degree,standard,no,79,78,77
female,group C,bachelor's degree,standard,no,86,92,87
male,group D,some college,standard,no,76,71,73
male,group A,some high school,standard,no,64,50,43
male,group D,some high school,below standard,no,62,49,52
female,group B,some high school,standard,yes,54,61,62
female,group B,master's degree,below standard,yes,77,97,94
female,group C,some high school,standard,yes,76,87,85
female,group D,some college,standard,no,74,89,84
female,group E,some college,standard,yes,66,74,73
female,group D,some high school,standard,yes,66,78,78
female,group B,high school,below standard,yes,67,78,79
male,group D,some college,standard,no,71,49,52
female,group C,associate's degree,standard,no,91,86,84
male,group D,bachelor's degree,standard,no,69,58,57
male,group C,master's degree,below standard,no,54,59,50
male,group C,high school,standard,yes,53,52,49
male,group E,some college,standard,no,68,60,59
male,group C,some high school,below standard,yes,56,61,60
female,group C,high school,below standard,no,36,53,43
female,group D,bachelor's degree,below standard,no,29,41,47
female,group C,associate's degree,standard,no,62,74,70
female,group C,associate's degree,standard,yes,68,67,73
female,group C,some high school,standard,no,47,54,53
male,group E,associate's degree,standard,yes,62,61,58
female,group E,associate's degree,standard,yes,79,88,94
male,group B,high school,standard,yes,73,69,68
female,group C,bachelor's degree,below standard,yes,66,83,83
male,group C,associate's degree,standard,yes,51,60,58
female,group D,high school,standard,no,51,66,62
male,group E,bachelor's degree,standard,yes,85,66,71
male,group A,associate's degree,standard,yes,97,92,86
male,group C,high school,standard,yes,75,69,68
male,group D,associate's degree,below standard,yes,79,82,80
female,group C,associate's degree,standard,no,81,77,79
female,group D,associate's degree,standard,no,82,95,89
female,group D,master's degree,standard,no,64,63,66
male,group E,some high school,below standard,yes,78,83,80
female,group A,some high school,standard,yes,92,100,97
male,group C,high school,standard,yes,72,67,64
female,group C,high school,below standard,no,62,67,64
male,group C,master's degree,standard,no,79,72,69
male,group C,some high school,below standard,no,79,76,65
male,group B,bachelor's degree,below standard,yes,87,90,88
female,group B,associate's degree,standard,no,40,48,50
male,group D,some college,below standard,no,77,62,64
male,group E,associate's degree,standard,no,53,45,40
female,group C,some college,below standard,no,32,39,33
female,group C,associate's degree,standard,yes,55,72,79
male,group C,master's degree,below standard,no,61,67,66
female,group B,associate's degree,below standard,no,53,70,70
male,group D,some high school,standard,no,73,66,62
female,group D,some college,standard,yes,74,75,79
female,group C,some college,standard,no,63,74,74
male,group C,bachelor's degree,standard,yes,96,90,92
female,group D,some college,below standard,yes,63,80,80
male,group B,bachelor's degree,below standard,no,48,51,46
male,group B,associate's degree,standard,no,48,43,45
female,group E,bachelor's degree,below standard,yes,92,100,100
female,group D,master's degree,below standard,yes,61,71,78
male,group B,high school,below standard,no,63,48,47
male,group D,bachelor's degree,below standard,no,68,68,67
male,group B,some college,standard,yes,71,75,70
male,group A,bachelor's degree,standard,no,91,96,92
female,group C,some college,standard,no,53,62,56
female,group C,high school,below standard,yes,50,66,64
female,group E,high school,standard,no,74,81,71
male,group A,associate's degree,below standard,yes,40,55,53
male,group A,some college,standard,yes,61,51,52
female,group B,high school,standard,no,81,91,89
female,group B,some college,below standard,yes,48,56,58
female,group D,master's degree,standard,no,53,61,68
female,group D,some high school,standard,no,81,97,96
female,group E,some high school,standard,no,77,79,80
female,group D,bachelor's degree,below standard,no,63,73,78
female,group D,associate's degree,standard,yes,73,75,80
female,group D,some college,standard,no,69,77,77
female,group C,associate's degree,standard,no,65,76,76
female,group A,high school,standard,no,55,73,73
female,group C,bachelor's degree,below standard,no,44,63,62
female,group C,some college,standard,no,54,64,65
female,group A,some high school,standard,no,48,66,65
male,group C,some college,below standard,no,58,57,54
male,group A,some high school,standard,no,71,62,50
male,group E,bachelor's degree,standard,no,68,68,64
female,group E,high school,standard,no,74,76,73
female,group C,bachelor's degree,standard,yes,92,100,99
female,group C,bachelor's degree,standard,yes,56,79,72
male,group B,high school,below standard,no,30,24,15
male,group A,some high school,standard,no,53,54,48
female,group D,high school,standard,no,69,77,73
female,group D,some high school,standard,no,65,82,81
female,group D,master's degree,standard,no,54,60,63
female,group C,high school,standard,no,29,29,30
female,group E,some college,standard,no,76,78,80
male,group D,high school,below standard,no,60,57,51
male,group D,master's degree,below standard,yes,84,89,90
male,group C,some high school,standard,no,75,72,62
female,group C,associate's degree,standard,no,85,84,82
female,group C,master's degree,below standard,no,40,58,54
female,group E,some college,standard,no,61,64,62
female,group B,associate's degree,standard,no,58,63,65
male,group D,some college,below standard,yes,69,60,63
female,group C,some college,standard,no,58,59,66
male,group C,bachelor's degree,standard,yes,94,90,91
female,group C,associate's degree,standard,no,65,77,74
female,group A,associate's degree,standard,no,82,93,93
female,group C,high school,standard,no,60,68,72
female,group E,bachelor's degree,standard,no,37,45,38
male,group D,bachelor's degree,standard,no,88,78,83
male,group D,master's degree,standard,no,95,81,84
male,group C,associate's degree,below standard,yes,65,73,68
female,group C,high school,below standard,no,35,61,54
male,group B,bachelor's degree,below standard,no,62,63,56
male,group C,high school,below standard,yes,58,51,52
male,group A,some college,standard,yes,100,96,86
female,group E,bachelor's degree,below standard,no,61,58,62
male,group D,some college,standard,yes,100,97,99
male,group B,associate's degree,below standard,yes,69,70,63
male,group D,associate's degree,standard,no,61,48,46
male,group D,some college,below standard,no,49,57,46
female,group C,some high school,standard,yes,44,51,55
male,group D,some college,standard,no,67,64,70
male,group B,high school,standard,no,79,60,65
female,group B,bachelor's degree,standard,yes,66,74,81
female,group C,high school,standard,no,75,88,85
male,group D,some high school,standard,no,84,84,80
male,group A,high school,standard,no,71,74,64
female,group B,high school,below standard,yes,67,80,81
female,group D,some high school,standard,yes,80,92,88
male,group E,some college,standard,no,86,76,74
female,group D,associate's degree,standard,no,76,74,73
male,group D,high school,standard,no,41,52,51
female,group D,associate's degree,below standard,yes,74,88,90
female,group B,some high school,below standard,no,72,81,79
female,group E,high school,standard,yes,74,79,80
male,group B,high school,standard,no,70,65,60
female,group B,bachelor's degree,standard,yes,65,81,81
female,group D,associate's degree,standard,no,59,70,65
female,group E,high school,below standard,no,64,62,68
female,group B,high school,standard,no,50,53,55
female,group D,some college,standard,yes,69,79,81
male,group C,some high school,below standard,yes,51,56,53
female,group A,high school,standard,yes,68,80,76
female,group D,some college,standard,yes,85,86,98
female,group A,associate's degree,standard,yes,65,70,74
female,group B,some high school,standard,no,73,79,79
female,group B,some college,standard,no,62,67,67
male,group C,associate's degree,below standard,no,77,67,64
male,group D,some high school,standard,no,69,66,61
female,group D,associate's degree,below standard,no,43,60,58
male,group D,associate's degree,standard,no,90,87,85
male,group C,some college,below standard,no,74,77,73
male,group C,some high school,standard,no,73,66,63
female,group D,some college,below standard,no,55,71,69
female,group C,high school,standard,no,65,69,67
male,group D,associate's degree,standard,no,80,63,63
female,group C,some high school,below standard,yes,50,60,60
female,group C,some college,below standard,yes,63,73,71
female,group B,bachelor's degree,below standard,no,77,85,87
male,group C,some college,standard,no,73,74,61
male,group D,associate's degree,standard,yes,81,72,77
female,group C,high school,below standard,no,66,76,68
male,group D,associate's degree,below standard,no,52,57,50
female,group C,some college,standard,no,69,78,76
female,group C,associate's degree,standard,yes,65,84,84
female,group D,high school,standard,yes,69,77,78
female,group B,some college,standard,yes,50,64,66
female,group E,some college,standard,yes,73,78,76
female,group C,some high school,standard,yes,70,82,76
male,group D,associate's degree,below standard,no,81,75,78
male,group D,some college,below standard,no,63,61,60
female,group D,high school,standard,no,67,72,74
male,group B,high school,standard,no,60,68,60
male,group B,high school,standard,no,62,55,54
female,group C,some high school,below standard,yes,29,40,44
male,group B,some college,standard,yes,62,66,68
female,group E,master's degree,standard,yes,94,99,100
male,group E,some college,standard,yes,85,75,68
male,group D,associate's degree,below standard,no,77,78,73
male,group A,high school,below standard,no,53,58,44
male,group E,some college,below standard,no,93,90,83
female,group C,associate's degree,standard,no,49,53,53
female,group E,associate's degree,below standard,no,73,76,78
female,group C,bachelor's degree,below standard,yes,66,74,81
female,group D,associate's degree,standard,no,77,77,73
female,group C,some high school,standard,no,49,63,56
female,group D,some college,below standard,no,79,89,86
female,group C,associate's degree,standard,yes,75,82,90
female,group A,bachelor's degree,standard,no,59,72,70
female,group D,associate's degree,standard,yes,57,78,79
male,group C,high school,below standard,no,66,66,59
female,group E,bachelor's degree,standard,yes,79,81,82
female,group B,some high school,standard,no,57,67,72
male,group A,bachelor's degree,standard,yes,87,84,87
female,group D,some college,standard,no,63,64,67
female,group B,some high school,below standard,yes,59,63,64
male,group A,bachelor's degree,below standard,no,62,72,65
male,group D,high school,standard,no,46,34,36
male,group C,some college,standard,no,66,59,52
male,group D,high school,standard,no,89,87,79
female,group D,associate's degree,below standard,yes,42,61,58
male,group C,some college,standard,yes,93,84,90
female,group E,some high school,standard,yes,80,85,85
female,group D,some college,standard,no,98,100,99
male,group D,master's degree,standard,no,81,81,84
female,group B,some high school,standard,yes,60,70,74
female,group B,associate's degree,below standard,yes,76,94,87
male,group C,associate's degree,standard,yes,73,78,72
female,group C,associate's degree,standard,yes,96,96,99
female,group C,high school,standard,no,76,76,74
male,group E,associate's degree,below standard,yes,91,73,80
female,group C,some college,below standard,no,62,72,70
male,group D,some high school,below standard,yes,55,59,59
female,group B,some high school,below standard,yes,74,90,88
male,group C,high school,standard,no,50,48,42
male,group B,some college,standard,no,47,43,41
male,group E,some college,standard,yes,81,74,71
female,group E,associate's degree,standard,yes,65,75,77
male,group E,some high school,standard,yes,68,51,57
female,group D,high school,below standard,no,73,92,84
male,group C,some college,standard,no,53,39,37
female,group B,associate's degree,below standard,yes,68,77,80
male,group A,some high school,below standard,no,55,46,43
female,group C,some college,standard,yes,87,89,94
male,group D,some high school,standard,no,55,47,44
female,group E,some college,below standard,no,53,58,57
male,group C,master's degree,standard,no,67,57,59
male,group C,associate's degree,standard,no,92,79,84
female,group B,some college,below standard,yes,53,66,73
male,group D,associate's degree,standard,no,81,71,73
male,group C,high school,below standard,no,61,60,55
male,group D,bachelor's degree,standard,no,80,73,72
female,group A,associate's degree,below standard,no,37,57,56
female,group C,high school,standard,no,81,84,82
female,group C,associate's degree,standard,yes,59,73,72
male,group B,some college,below standard,no,55,55,47
male,group D,associate's degree,standard,no,72,79,74
male,group D,high school,standard,no,69,75,71
male,group C,some college,standard,no,69,64,68
female,group C,bachelor's degree,below standard,no,50,60,59
male,group B,some college,standard,yes,87,84,86
male,group D,some high school,standard,yes,71,69,68
male,group E,some college,standard,no,68,72,65
male,group C,master's degree,below standard,yes,79,77,75
female,group C,some high school,standard,yes,77,90,85
male,group C,associate's degree,below standard,no,58,55,53
female,group E,associate's degree,standard,no,84,95,92
male,group D,some college,standard,no,55,58,52
male,group E,bachelor's degree,below standard,yes,70,68,72
female,group D,some college,below standard,yes,52,59,65
male,group B,some college,standard,yes,69,77,77
female,group C,high school,below standard,no,53,72,64
female,group D,some high school,standard,no,48,58,54
male,group D,some high school,standard,yes,78,81,86
female,group B,high school,standard,no,62,62,63
male,group D,some college,standard,no,60,63,59
female,group B,high school,standard,no,74,72,72
female,group C,high school,standard,yes,58,75,77
male,group B,high school,standard,yes,76,62,60
female,group D,some high school,standard,no,68,71,75
male,group A,some college,below standard,no,58,60,57
male,group B,high school,standard,no,52,48,49
male,group D,bachelor's degree,standard,no,75,73,74
female,group B,some high school,below standard,yes,52,67,72
female,group C,bachelor's degree,below standard,no,62,78,79
male,group B,some college,standard,no,66,65,60
female,group B,some high school,below standard,no,49,58,55
female,group B,high school,standard,no,66,72,70
female,group C,some college,below standard,no,35,44,43
female,group A,some college,standard,yes,72,79,82
male,group E,associate's degree,standard,yes,94,85,82
female,group D,associate's degree,below standard,no,46,56,57
female,group B,master's degree,standard,no,77,90,84
female,group B,high school,below standard,yes,76,85,82
female,group C,associate's degree,standard,yes,52,59,62
male,group C,bachelor's degree,standard,yes,91,81,79
female,group B,some high school,standard,yes,32,51,44
female,group E,some high school,below standard,no,72,79,77
female,group B,some college,standard,no,19,38,32
male,group C,associate's degree,below standard,no,68,65,61
female,group C,master's degree,below standard,no,52,65,61
female,group B,high school,standard,no,48,62,60
female,group D,some college,below standard,no,60,66,70
male,group D,high school,below standard,no,66,74,69
male,group E,some high school,standard,yes,89,84,77
female,group B,high school,standard,no,42,52,51
female,group E,associate's degree,below standard,yes,57,68,73
male,group D,high school,standard,no,70,70,70
female,group E,associate's degree,below standard,no,70,84,81
male,group E,some college,standard,no,69,60,54
female,group C,associate's degree,standard,no,52,55,57
male,group C,some high school,standard,yes,67,73,68
male,group C,some high school,standard,yes,76,80,73
female,group E,associate's degree,standard,no,87,94,95
female,group B,some college,standard,no,82,85,87
female,group C,some college,standard,no,73,76,78
male,group A,some college,below standard,no,75,81,74
female,group D,some college,below standard,no,64,74,75
female,group E,high school,below standard,no,41,45,40
male,group C,high school,standard,no,90,75,69
male,group B,bachelor's degree,standard,no,59,54,51
male,group A,some high school,standard,no,51,31,36
male,group A,high school,below standard,no,45,47,49
female,group C,master's degree,standard,yes,54,64,67
male,group E,some high school,standard,yes,87,84,76
female,group C,high school,standard,no,72,80,83
male,group B,some high school,standard,yes,94,86,87
female,group A,bachelor's degree,standard,no,45,59,64
male,group D,bachelor's degree,below standard,yes,61,70,76
female,group B,high school,below standard,no,60,72,68
female,group C,some high school,standard,no,77,91,88
female,group A,some high school,standard,yes,85,90,92
female,group D,bachelor's degree,below standard,no,78,90,93
male,group E,some college,below standard,yes,49,52,51
female,group B,high school,below standard,no,71,87,82
female,group C,some high school,below standard,no,48,58,52
male,group C,high school,standard,no,62,67,58
female,group C,associate's degree,below standard,yes,56,68,70
female,group C,some high school,standard,no,65,69,76
female,group D,some high school,below standard,yes,69,86,81
male,group B,some high school,standard,no,68,54,53
female,group A,some college,below standard,no,61,60,57
female,group C,bachelor's degree,below standard,yes,74,86,89
male,group A,bachelor's degree,standard,no,64,60,58
female,group B,high school,standard,yes,77,82,89
male,group B,some college,standard,no,58,50,45
female,group C,high school,standard,yes,60,64,74
male,group E,high school,standard,no,73,64,57
female,group A,high school,standard,yes,75,82,79
male,group B,associate's degree,below standard,yes,58,57,53
female,group C,associate's degree,standard,no,66,77,73
female,group D,high school,below standard,no,39,52,46
male,group C,some high school,standard,no,64,58,51
female,group B,high school,below standard,yes,23,44,36
male,group B,some college,below standard,yes,74,77,76
female,group D,some high school,below standard,yes,40,65,64
male,group E,master's degree,standard,no,90,85,84
male,group C,master's degree,standard,yes,91,85,85
male,group D,high school,standard,no,64,54,50
female,group C,high school,standard,no,59,72,68
male,group D,associate's degree,standard,no,80,75,69
male,group C,master's degree,standard,no,71,67,67
female,group A,high school,standard,no,61,68,63
female,group E,some college,standard,no,87,85,93
male,group E,some high school,standard,no,82,67,61
male,group C,some high school,standard,no,62,64,55
female,group B,bachelor's degree,standard,no,97,97,96
male,group B,some college,below standard,no,75,68,65
female,group C,bachelor's degree,standard,no,65,79,81
male,group B,high school,standard,yes,52,49,46
male,group C,associate's degree,below standard,no,87,73,72
female,group C,associate's degree,standard,no,53,62,53
female,group E,master's degree,below standard,no,81,86,87
male,group D,bachelor's degree,below standard,yes,39,42,38
female,group C,some college,standard,yes,71,71,80
male,group C,associate's degree,standard,no,97,93,91
male,group D,some college,standard,yes,82,82,88
male,group C,high school,below standard,no,59,53,52
male,group B,associate's degree,standard,no,61,42,41
male,group E,associate's degree,below standard,yes,78,74,72
male,group C,associate's degree,below standard,no,49,51,51
male,group B,high school,standard,no,59,58,47
female,group C,some college,standard,yes,70,72,76
male,group B,associate's degree,standard,yes,82,84,78
male,group E,associate's degree,below standard,no,90,90,82
female,group C,bachelor's degree,below standard,no,43,62,61
male,group C,some college,below standard,no,80,64,66
male,group D,some college,standard,no,81,82,84
male,group C,some high school,standard,no,57,61,54
female,group D,some high school,standard,no,59,72,80
female,group D,associate's degree,standard,no,64,76,74
male,group C,bachelor's degree,standard,yes,63,64,66
female,group E,bachelor's degree,standard,yes,71,70,70
female,group B,high school,below standard,no,64,73,71
male,group D,bachelor's degree,below standard,no,55,46,44
female,group E,associate's degree,standard,no,51,51,54
female,group C,associate's degree,standard,yes,62,76,80
female,group E,associate's degree,standard,yes,93,100,95
male,group C,high school,below standard,no,54,72,59
female,group D,some college,below standard,no,69,65,74
male,group D,high school,below standard,no,44,51,48
female,group E,some college,standard,yes,86,85,91
female,group E,associate's degree,standard,no,85,92,85
female,group A,master's degree,below standard,no,50,67,73
male,group D,some high school,standard,yes,88,74,75
female,group E,associate's degree,standard,no,59,62,69
female,group E,some high school,below standard,no,32,34,38
male,group B,high school,below standard,no,36,29,27
female,group B,some high school,below standard,yes,63,78,79
male,group D,associate's degree,standard,yes,67,54,63
female,group D,some high school,standard,yes,65,78,82
male,group D,master's degree,standard,no,85,84,89
female,group C,master's degree,standard,no,73,78,74
female,group A,high school,below standard,yes,34,48,41
female,group D,bachelor's degree,below standard,yes,93,100,100
female,group D,some high school,below standard,no,67,84,84
male,group D,some college,standard,no,88,77,77
male,group B,high school,standard,no,57,48,51
female,group D,some college,standard,yes,79,84,91
female,group C,bachelor's degree,below standard,no,67,75,72
male,group E,bachelor's degree,standard,yes,70,64,70
male,group D,bachelor's degree,below standard,no,50,42,48
female,group A,some college,standard,no,69,84,82
female,group C,bachelor's degree,standard,yes,52,61,66
female,group C,bachelor's degree,below standard,yes,47,62,66
female,group B,associate's degree,below standard,no,46,61,55
female,group E,some college,standard,no,68,70,66
male,group E,bachelor's degree,standard,yes,100,100,100
female,group C,high school,standard,no,44,61,52
female,group C,associate's degree,standard,yes,57,77,80
male,group B,some college,standard,yes,91,96,91
male,group D,high school,below standard,no,69,70,67
female,group C,high school,below standard,no,35,53,46
male,group D,high school,standard,no,72,66,66
female,group B,associate's degree,below standard,no,54,65,65
male,group D,high school,below standard,no,74,70,69
male,group E,some high school,standard,yes,74,64,60
male,group E,associate's degree,below standard,no,64,56,52
female,group D,high school,below standard,yes,65,61,71
male,group E,associate's degree,below standard,yes,46,43,44
female,group C,some high school,below standard,no,48,56,51
male,group C,some college,below standard,yes,67,74,70
male,group D,some college,below standard,no,62,57,62
male,group D,associate's degree,below standard,yes,61,71,73
male,group C,bachelor's degree,below standard,yes,70,75,74
male,group C,associate's degree,standard,yes,98,87,90
male,group D,some college,below standard,no,70,63,58
male,group A,associate's degree,standard,no,67,57,53
female,group E,high school,below standard,no,57,58,57
male,group D,some college,standard,yes,85,81,85
male,group D,some high school,standard,yes,77,68,69
male,group C,master's degree,below standard,yes,72,66,72
female,group D,master's degree,standard,no,78,91,96
male,group C,high school,standard,no,81,66,64
male,group A,some high school,below standard,yes,61,62,61
female,group B,high school,standard,no,58,68,61
female,group C,associate's degree,standard,no,54,61,58
male,group B,high school,standard,no,82,82,80
female,group D,some college,below standard,no,49,58,60
male,group B,some high school,below standard,yes,49,50,52
female,group E,high school,below standard,yes,57,75,73
male,group E,high school,standard,no,94,73,71
female,group D,some college,standard,yes,75,77,83
female,group E,some high school,below standard,no,74,74,72
male,group C,high school,standard,yes,58,52,54
female,group C,some college,standard,no,62,69,69
male,group E,associate's degree,standard,no,72,57,62
male,group C,some college,standard,no,84,87,81
female,group D,master's degree,standard,no,92,100,100
female,group D,high school,standard,no,45,63,59
male,group C,high school,standard,no,75,81,71
female,group A,some college,standard,no,56,58,64
female,group D,some high school,below standard,no,48,54,53
female,group E,associate's degree,standard,no,100,100,100
female,group C,some high school,below standard,yes,65,76,75
male,group D,some college,standard,no,72,57,58
female,group D,some college,standard,no,62,70,72
male,group A,some high school,standard,yes,66,68,64
male,group C,some college,standard,no,63,63,60
female,group E,associate's degree,standard,no,68,76,67
female,group B,bachelor's degree,standard,no,75,84,80
female,group D,bachelor's degree,standard,no,89,100,100
male,group C,some high school,standard,yes,78,72,69
female,group A,high school,below standard,yes,53,50,60
female,group D,some college,below standard,no,49,65,61
female,group A,some college,standard,no,54,63,67
female,group C,some college,standard,yes,64,82,77
male,group B,some college,below standard,yes,60,62,60
male,group C,associate's degree,standard,no,62,65,58
male,group D,high school,standard,yes,55,41,48
female,group C,associate's degree,standard,no,91,95,94
female,group B,high school,below standard,no,8,24,23
male,group D,some high school,standard,no,81,78,78
male,group B,some high school,standard,yes,79,85,86
female,group A,some college,standard,yes,78,87,91
female,group C,some high school,standard,no,74,75,82
male,group A,high school,standard,no,57,51,54
female,group C,associate's degree,standard,no,40,59,51
male,group E,some high school,standard,yes,81,75,76
female,group A,some high school,below standard,no,44,45,45
female,group D,some college,below standard,yes,67,86,83
male,group E,high school,below standard,yes,86,81,75
female,group B,some high school,standard,yes,65,82,78
female,group D,associate's degree,below standard,no,55,76,76
female,group D,bachelor's degree,below standard,no,62,72,74
male,group A,high school,standard,no,63,63,62
female,group E,master's degree,standard,yes,88,99,95
male,group C,high school,below standard,no,62,55,55
female,group C,high school,below standard,yes,59,71,65
female,group D,some college,standard,yes,68,78,77
female,group D,some college,below standard,no,77,86,86
